"Survey ID","User ID","Start time","Submission time","Time to complete","Meal ID","Meal name","Food ID","Search term","Intake24 food code","Description (en)","Description (local)","Nutrient table name","Nutrient table code","Food group code","Food group (en)","Food group (local)","Ready meal","Brand","Serving size (g/ml)","Serving image","Leftovers (g/ml)","Leftovers image","Portion size (g/ml)","Reasonable amount","Missing food description","Missing food portion size","Missing food leftovers","Energy (kcal)","Fat","Satd FA","Protein","Carbohydrate","Total sugars","Non-milk extrinsic sugars","Alcohol","Fibre, water-insoluble","Fibre, water-soluble","Vitamin C","Calcium","Iron","Alpha-carotene","Beta cryptoxanthin","Beta-carotene","Biotin","Chloride","Cholesterol","Cis-Mon FA","Cis-n3 FA","Cis-n6 FA","Copper","Energy (kJ)","Englyst fibre","Folate","Fructose","Glucose","Haem iron","Intrinsic and milk sugars","Iodine","Lactose","Magnesium","Maltose","Manganese","Niacin","Niacin equivalent","Nitrogen conversion factor","Non-haem iron","Other sugars (UK)","Pantothenic acid","Phosphorus","Potassium","Retinol","Riboflavin","Selenium","Sodium","Southgate fibre","Starch","Sucrose","Thiamin","Total carotene","Total nitrogen","Trans FA","Tryptophan/60","Vitamin A","Vitamin B12","Vitamin B6","Vitamin D","Vitamin E","Water","Zinc","CO₂ emissions"
"d851b8f5-1e16-430b-badb-8fedce741229","LBD08","2018-07-23T13:22:29.181Z","2018-07-23T13:32:30.126Z","10 min","1","Breakfast","1","Bagels","BAGS","Seeded bagel","Seeded bagel","NDNS","10772","4","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets","false","N/A","70.00","N/A","0.00","N/A","70.00","true","N/A","N/A","N/A","204.40","2.73","0.48","9.17","38.92","4.69","3.99","0.00","N/A","N/A","0.00","123.90","2.03","0.00","0.00","2.10","2.80","893.20","0.00","0.88","0.06","1.20","0.22","879.90","5.74","14.00","0.63","0.56","0.00","0.63","15.40","0.00","39.90","2.10","0.43","2.03","3.50","5.03","2.03","N/A","0.21","125.30","132.30","0.00","0.04","4.90","241.50","N/A","34.30","0.07","0.21","2.10","1.47","0.04","1.68","0.70","0.00","0.00","0.00","0.91","14.21","0.91","114.10"
"d851b8f5-1e16-430b-badb-8fedce741229","LBD08","2018-07-23T13:22:29.181Z","2018-07-23T13:32:30.126Z","10 min","1","Breakfast","2","earl grey tea","BTEA","Tea","Tea","NDNS","2314","91","Tea (excluding added sugar)","Tea (excluding added sugar)","false","N/A","325.38","N/A","0.00","N/A","325.38","true","N/A","N/A","N/A","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","N/A","N/A","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.25","0.00","0.00","0.00","0.00","0.03","0.00","0.00","16.27","0.00","0.00","0.00","0.00","3.25","0.00","6.51","0.00","0.46","0.00","0.00","20.34","0.00","N/A","0.33","9.76","113.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","323.10","0.00","26.03"
"d851b8f5-1e16-430b-badb-8fedce741229","LBD08","2018-07-23T13:22:29.181Z","2018-07-23T13:32:30.126Z","10 min","2","Lunch","1","spaghetti","WHSP","Spaghetti, white","Spaghetti, white","NDNS","34","10","Pasta","Pasta","false","N/A","101.00","https://intake24.s3-eu-west-1.amazonaws.com/production/images/as_served/plspag/plspag3.jpg","0.00","N/A","101.00","true","N/A","N/A","N/A","142.41","0.61","0.09","4.44","31.82","1.01","0.00","0.00","N/A","N/A","0.00","27.27","0.61","0.00","0.00","0.00","1.01","55.55","0.00","0.07","0.01","0.23","0.00","607.01","1.52","7.07","0.10","0.00","0.00","1.01","0.00","0.00","21.21","0.91","0.33","0.91","1.72","5.76","0.61","N/A","0.20","66.66","41.41","0.00","0.01","5.05","3.03","N/A","30.81","0.00","0.08","0.00","0.81","0.00","0.81","0.00","0.00","0.00","0.00","0.10","65.55","0.51","323.20"
"d851b8f5-1e16-430b-badb-8fedce741229","LBD08","2018-07-23T13:22:29.181Z","2018-07-23T13:32:30.126Z","10 min","2","Lunch","2","pesto walnuts","GPTO","Green pesto","Green pesto","NDNS","6036","97","Other sauces e.g. vinegar, salad cream, tartare sauce, cook-in-canned sauce","Other sauces e.g. vinegar, salad cream, tartare sauce, cook-in-canned sauce","false","N/A","26.70","N/A","0.00","N/A","26.70","true","N/A","N/A","N/A","110.00","11.35","1.74","0.99","1.04","0.61","0.40","0.00","N/A","N/A","0.00","55.80","0.27","0.00","0.00","264.33","0.80","402.10","2.14","4.37","0.05","4.54","0.06","453.37","0.29","4.27","0.11","0.29","0.00","0.21","1.07","0.11","11.75","0.11","0.13","0.16","0.48","1.70","0.27","N/A","0.05","37.65","48.06","8.54","0.03","1.07","356.71","N/A","0.43","0.00","0.02","264.33","0.16","0.08","0.32","52.60","0.00","0.00","0.19","4.46","10.41","0.29","296.37"
"d851b8f5-1e16-430b-badb-8fedce741229","LBD08","2018-07-23T13:22:29.181Z","2018-07-23T13:32:30.126Z","10 min","2","Lunch","3","feta","FETA","Feta cheese","Feta cheese","NDNS","669","28","Other cheese: edam, cheddar","Other cheese: edam, cheddar","false","N/A","59.22","https://intake24.s3-eu-west-1.amazonaws.com/production/images/as_served/chec/chec6.jpg","0.00","N/A","59.22","true","N/A","N/A","N/A","148.05","11.96","8.11","9.24","0.89","0.89","0.00","0.00","N/A","N/A","0.00","213.19","0.12","0.00","0.00","19.54","1.18","1202.17","41.45","1.95","0.09","0.20","0.04","614.11","0.00","13.62","0.00","0.00","0.00","0.89","23.10","0.83","11.84","0.00","0.00","0.12","2.13","3.78","0.12","N/A","0.24","165.82","56.26","130.28","0.12","2.96","734.33","0.00","0.00","0.00","0.02","19.54","1.42","0.54","2.07","133.84","0.65","0.06","0.30","0.24","33.46","0.53","657.34"
"d851b8f5-1e16-430b-badb-8fedce741229","LBD08","2018-07-23T13:22:29.181Z","2018-07-23T13:32:30.126Z","10 min","2","Lunch","4","Water","TWTR","Water (from tap, including filtered)","Water (from tap, including filtered)","NDNS","5000","90","Water","Water","false","N/A","109.58","N/A","101.82","N/A","7.76","true","N/A","N/A","N/A","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","N/A","N/A","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.49","0.00","N/A","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7.76","0.00","0.00"
"d851b8f5-1e16-430b-badb-8fedce741229","LBD08","2018-07-23T13:22:29.181Z","2018-07-23T13:32:30.126Z","10 min","3","Afternoon snack or drink","1","chocolate","BLOC","Chocolate - pieces / squares","Chocolate - pieces / squares","NDNS","2254","81","Chocolate: includes all plain, milk & white chocolate bars & coated bars e.g. caramels & wafers and full coated chocolate biscuits","Chocolate: includes all plain, milk & white chocolate bars & coated bars e.g. caramels & wafers and full coated chocolate biscuits","false","N/A","12.00","N/A","0.00","N/A","12.00","true","N/A","N/A","N/A","62.28","3.73","2.25","0.88","6.72","6.72","5.62","0.00","N/A","N/A","0.00","27.12","0.25","0.00","0.00","2.64","0.24","22.80","2.64","1.13","0.01","0.12","0.04","260.52","0.16","1.08","0.00","0.00","0.00","1.10","6.12","1.10","6.84","0.00","0.04","0.04","0.32","0.77","0.25","N/A","0.08","26.88","54.12","7.92","0.06","0.36","10.68","0.28","0.00","5.62","0.01","2.64","0.13","0.02","0.29","8.40","0.25","0.02","0.00","0.05","0.19","0.13","111.96"
"d851b8f5-1e16-430b-badb-8fedce741229","LBD08","2018-07-23T13:22:29.181Z","2018-07-23T13:32:30.126Z","10 min","4","Evening meal","1","salmon","SMFR","Salmon, pan fried or roasted","Salmon, pan fried or roasted","NDNS","4105","54","Oily fish","Oily fish","false","N/A","92.00","https://intake24.s3-eu-west-1.amazonaws.com/production/images/as_served/salmon_steak/GSalm03.jpg","0.00","N/A","92.00","true","N/A","N/A","N/A","252.08","19.04","3.15","19.96","0.00","0.00","0.00","0.00","N/A","N/A","0.00","10.12","0.28","0.00","0.92","0.00","0.92","57.96","66.24","8.22","3.47","1.77","0.05","1049.72","0.00","4.60","0.00","0.00","0.09","0.00","11.96","0.00","25.76","0.00","0.09","7.54","9.75","6.38","0.18","N/A","0.92","220.80","349.60","15.64","0.06","16.56","42.32","0.00","0.00","0.00","0.35","0.92","3.22","0.00","3.31","15.64","4.32","0.18","4.54","4.88","53.82","0.37","423.20"
"d851b8f5-1e16-430b-badb-8fedce741229","LBD08","2018-07-23T13:22:29.181Z","2018-07-23T13:32:30.126Z","10 min","4","Evening meal","2","potatoe wedges","POTW","Potato wedges","Potato wedges","NDNS","3991","66","Potato products e.g. wedges, waffles, croquettes","Potato products e.g. wedges, waffles, croquettes","false","N/A","91.00","https://intake24.s3-eu-west-1.amazonaws.com/production/images/as_served/chipth/chipth2.jpg","0.00","N/A","91.00","true","N/A","N/A","N/A","142.87","4.55","0.77","2.28","24.84","1.09","0.36","0.00","N/A","N/A","0.00","19.11","2.28","0.00","3.64","7.28","0.00","263.90","0.00","2.58","0.04","0.62","0.15","604.24","1.91","9.10","0.27","0.27","0.00","0.73","0.91","0.00","23.66","0.09","0.19","1.55","1.91","5.69","2.28","N/A","0.36","83.72","469.56","0.00","0.05","0.91","200.20","2.46","23.75","0.36","0.07","9.10","0.46","0.36","0.36","1.82","0.00","0.09","0.00","0.00","55.97","0.46","236.60"
"d851b8f5-1e16-430b-badb-8fedce741229","LBD08","2018-07-23T13:22:29.181Z","2018-07-23T13:32:30.126Z","10 min","4","Evening meal","3","spinach salad ","SPNR","Spinach raw, e.g. in salad","Spinach raw, e.g. in salad","NDNS","1914","70","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad","false","N/A","54.37","https://intake24.s3-eu-west-1.amazonaws.com/production/images/as_served/lettuce/Lett6.jpg","0.00","N/A","54.37","true","N/A","N/A","N/A","13.59","0.43","0.04","1.52","0.87","0.82","0.00","0.00","N/A","N/A","14.14","92.43","1.14","0.00","19.03","1911.12","0.00","53.28","0.00","0.03","0.22","0.04","0.02","56.00","1.14","61.98","0.27","0.27","0.00","0.82","1.09","0.00","29.36","0.00","0.33","0.65","1.03","3.40","1.14","N/A","0.16","24.47","271.85","0.00","0.05","0.54","76.12","2.12","0.05","0.27","0.04","1921.99","0.22","0.00","0.38","320.24","0.00","0.11","0.00","0.92","48.77","0.38","43.50"
